s_m,x_m,y_m,z_m,yaw_rad,curvature_1pm
1761.597083,1099.842333,206.879068,0.000000,-0.293959,0.023410
1766.032335,1104.087331,205.593981,0.000000,-0.186403,0.024842
1770.361931,1108.341926,204.791595,0.000000,-0.077755,0.025390
1774.641029,1112.608095,204.459209,0.000000,0.029178,0.024975
1778.922571,1116.887814,204.584118,0.000000,0.131820,0.023689
1783.255405,1121.183058,205.153622,0.000000,0.228151,0.021758
1787.682883,1125.495803,206.155016,0.000000,0.316862,0.019458
1792.242073,1129.828026,207.575598,0.000000,0.397340,0.017045
1796.963585,1134.181703,209.402666,0.000000,0.469533,0.014709
1801.871867,1138.558809,211.623516,0.000000,0.533783,0.012564
1806.985784,1142.961320,214.225447,0.000000,0.590662,0.010664
1812.319327,1147.391212,217.195755,0.000000,0.640847,0.009021
1817.882336,1151.850462,220.521738,0.000000,0.685041,0.007621
1823.681178,1156.341045,224.190694,0.000000,0.723918,0.006438
1829.719340,1160.864937,228.189919,0.000000,0.758097,0.005444
1835.997938,1165.424115,232.506710,0.000000,0.788134,0.004608
1842.516139,1170.020553,237.128366,0.000000,0.814516,0.003905
1849.271514,1174.656229,242.042183,0.000000,0.837668,0.003313
1856.260320,1179.333118,247.235459,0.000000,0.857957,0.002811
1863.477735,1184.053196,252.695491,0.000000,0.881016,0.003492
1870.080833,1188.255193,257.789028,0.000000,0.896001,0.002446
1876.208167,1192.083167,262.573466,0.000000,0.908171,0.002140
1881.893747,1195.580871,267.055863,0.000000,0.916587,0.001595
1887.170693,1198.792060,271.243275,0.000000,0.920143,0.000726
1892.071462,1201.760486,275.142761,0.000000,0.917559,-0.000567
1896.628221,1204.529904,278.761376,0.000000,0.907401,-0.002393
1900.873401,1207.144067,282.106178,0.000000,0.888137,-0.004856
1904.840475,1209.646729,285.184223,0.000000,0.858258,-0.008022
1908.564973,1212.081643,288.002570,0.000000,0.816490,-0.011864
1912.085680,1214.492563,290.568275,0.000000,0.762130,-0.016177
1915.445912,1216.923243,292.888394,0.000000,0.695471,-0.020519
1918.694608,1219.417437,294.969986,0.000000,0.618194,-0.024208
1921.886871,1222.018897,296.820107,0.000000,0.533504,-0.026493
1925.083600,1224.771378,298.445814,0.000000,0.445772,-0.026858
1928.350060,1227.718633,299.854164,0.000000,0.359701,-0.025288
1931.753667,1230.904416,301.052214,0.000000,0.279347,-0.022271
1935.361591,1234.372481,302.047021,0.000000,0.207462,-0.018540
1939.238831,1238.166581,302.845643,0.000000,0.145344,-0.014761
1943.447091,1242.330471,303.455136,0.000000,0.093106,-0.011363
1948.044435,1246.907902,303.882558,0.000000,0.039463,-0.011511
1952.704675,1251.564514,304.066417,0.000000,-0.025820,-0.014902
1957.085546,1255.943925,303.953316,0.000000,-0.094749,-0.016684
1961.217015,1260.056862,303.562450,0.000000,-0.166806,-0.018422
1965.128495,1263.914052,302.913014,0.000000,-0.241267,-0.020017
1968.848409,1267.526222,302.024204,0.000000,-0.317223,-0.021364
1972.403673,1270.904098,300.915213,0.000000,-0.393623,-0.022369
1975.819182,1274.058407,299.605238,0.000000,-0.469351,-0.022961
1979.117302,1276.999875,298.113474,0.000000,-0.543299,-0.023108
1982.317453,1279.739230,296.459116,0.000000,-0.614451,-0.022817
1985.435798,1282.287198,294.661358,0.000000,-0.681941,-0.022133
1988.485073,1284.654506,292.739397,0.000000,-0.745081,-0.021121
1991.474565,1286.851880,290.712427,0.000000,-0.803372,-0.019856
1994.410205,1288.890047,288.599643,0.000000,-0.856477,-0.018410
1997.294769,1290.779734,286.420241,0.000000,-0.904193,-0.016841
2000.128146,1292.531668,284.193415,0.000000,-0.946403,-0.015186
2002.907641,1294.156575,281.938361,0.000000,-0.983034,-0.013464
2005.628299,1295.665182,279.674274,0.000000,-1.014008,-0.011667
2008.283234,1297.068216,277.420350,0.000000,-1.039200,-0.009762
2010.863942,1298.376403,275.195783,0.000000,-1.058386,-0.007685
2013.360616,1299.600470,273.019768,0.000000,-1.041450,0.006909
2015.811956,1300.838322,270.903926,0.000000,-1.028854,0.005259
2018.206894,1302.073634,268.852162,0.000000,-1.010752,0.007745
2020.543993,1303.315155,266.872097,0.000000,-0.986694,0.010559
