s_m,left_x_m,left_y_m,right_x_m,right_y_m
1806.985784,1139.062943,220.039453,1146.859696,208.411442
1812.319327,1143.206089,222.806882,1151.576336,211.584629
1817.882336,1147.421528,225.942490,1156.279396,215.100987
1823.681178,1151.704771,229.435211,1160.977319,218.946176
1829.719340,1156.052152,233.272939,1165.677722,223.106898
1835.997938,1160.460845,237.442899,1170.387384,227.570522
1842.516139,1164.928797,241.931908,1175.112309,232.324823
1849.271514,1169.454635,246.726563,1179.857823,237.357803
1856.260320,1174.037562,251.813351,1184.628673,242.657568
1863.477735,1178.653494,257.150064,1189.452897,248.240918
1870.080833,1182.789347,262.162188,1193.721039,253.415868
1876.208167,1186.564507,266.879787,1197.601826,258.267145
1881.893747,1190.026164,271.315585,1201.135578,262.796141
1887.170693,1193.222241,275.483219,1204.361878,267.003332
1892.071462,1196.201643,279.397084,1207.319329,270.888437
1896.628221,1199.014563,283.071945,1210.045245,274.450806
1900.873401,1201.712780,286.522185,1212.575354,277.690170
1904.840475,1204.349793,289.760518,1214.943665,280.607929
1908.564973,1206.980414,292.796051,1217.182872,283.209089
1912.085680,1209.659315,295.631841,1219.325812,285.504708
1915.445912,1212.438015,298.262660,1221.408471,287.514129
1918.694608,1215.360488,300.674473,1223.474385,289.265499
1921.886871,1218.459024,302.847320,1225.578770,290.792893
1925.083600,1221.753294,304.761760,1227.789461,292.129868
1928.350060,1225.254673,306.406179,1230.182593,293.302149
1931.753667,1228.974317,307.780863,1232.834516,294.323565
1935.361591,1232.930643,308.896919,1235.814319,295.197123
1939.238831,1237.152754,309.771836,1239.180409,295.919450
1943.447091,1241.679671,310.424818,1242.981270,296.485455
1948.044435,1246.631733,310.877108,1247.184072,296.888008
1952.704675,1251.745233,311.064084,1251.383795,297.068750
1957.085546,1256.606174,310.921919,1255.281676,296.984713
1961.217015,1261.219095,310.465291,1258.894629,296.659609
1965.128495,1265.586584,309.710266,1262.241520,296.115762
1968.848409,1269.709725,308.674941,1265.342718,295.373466
1972.403673,1273.588859,307.379891,1268.219337,294.450536
1975.819182,1277.224558,305.848273,1270.892255,293.362204
1979.117302,1280.618613,304.105530,1273.381137,292.121418
1982.317453,1283.774802,302.178745,1275.703658,290.739486
1985.435798,1286.699305,300.095814,1277.875091,289.226902
1988.485073,1289.400727,297.884625,1279.908284,287.594168
1991.474565,1291.889789,295.572414,1281.813971,285.852440
1994.410205,1294.178823,293.185365,1283.601271,284.013921
1997.294769,1296.281219,290.748481,1285.278250,282.092000
2000.128146,1298.210894,288.285651,1286.852443,280.101178
2002.907641,1299.981858,285.819866,1288.331292,278.056857
2005.628299,1301.607879,283.373512,1289.722486,275.975037
2008.283234,1303.102208,280.968721,1291.034224,273.871979
2010.863942,1304.477362,278.627736,1292.275445,271.763829
2013.360616,1305.642430,276.554555,1293.558511,269.484980
2015.811956,1306.835282,274.514532,1294.841363,267.293319
2018.206894,1308.004256,272.570726,1296.143011,265.133598
2020.543993,1309.154606,270.732255,1297.475704,263.011940
2022.822495,1310.290614,269.007851,1298.852661,260.934857
2025.042578,1311.415542,267.405510,1300.288122,258.909597
2027.205641,1312.531694,265.931992,1301.797283,256.944644
2029.314625,1313.640703,264.592177,1303.396013,255.050357
2031.374365,1314.744154,263.388340,1305.100229,253.239709
2033.391945,1315.844668,262.319491,1306.924812,251.528931
2035.377031,1316.947449,261.381106,1308.882058,249.937790
2037.342127,1318.062097,260.565612,1310.979869,248.489104
2039.302689,1319.204136,259.863925,1313.220222,247.207197
2041.277038,1320.395519,259.267968,1315.598667,246.115393
2043.286025,1321.663511,258.773494,1318.105438,245.233180
2045.352477,1323.038020,258.382216,1320.728131,244.574088
2047.500486,1324.548196,258.102378,1323.455096,244.145117
2049.754659,1326.219523,257.947683,1326.278351,243.947806
2052.139442,1328.072230,257.935212,1329.195168,243.980320
2054.678607,1330.121160,258.083213,1332.208206,244.239650
2057.394916,1332.549882,258.444448,1335.151398,244.688282
2061.053397,1336.108289,259.117301,1338.782515,245.375085
2066.282310,1341.222855,260.112567,1343.933214,246.377432
2072.899602,1347.704172,261.391519,1350.436099,247.660657
2080.723171,1355.370189,262.916765,1358.116416,249.188756
2089.570895,1364.040949,264.651310,1366.797319,250.925334
2099.260647,1373.537274,266.558306,1376.301181,252.833845
2109.610297,1383.680333,268.600970,1386.450030,254.877677
2120.437710,1394.291470,270.742558,1397.065718,257.020184
2131.560754,1405.192122,272.946339,1407.970003,259.224700
2142.797292,1416.203786,275.175598,1418.984585,261.454550
2153.965190,1427.147992,277.393624,1429.931130,263.673050
2164.882311,1437.846299,279.563713,1440.631275,265.843512
2175.366519,1448.120287,281.649164,1450.906637,267.929242
2185.235678,1457.791558,283.613282,1460.578807,269.893543
2194.307652,1466.681752,285.419379,1469.469344,271.699710
2202.400304,1474.612571,287.030780,1477.399741,273.311024
2209.331498,1481.405871,288.410839,1484.191337,274.690738
2214.919096,1486.884002,289.523013,1489.664981,275.802002
2218.980964,1490.871788,290.331256,1493.639042,276.607469
2221.334965,1493.110200,290.782244,1496.015746,277.087070
2223.647426,1495.137985,291.208234,1498.512182,277.620931
2225.874119,1497.053036,291.679034,1500.919239,278.223460
2228.023927,1498.863585,292.193942,1503.241105,278.895923
2230.105891,1500.578439,292.752617,1505.481393,279.639225
2232.129168,1502.206924,293.355210,1507.643197,280.453779
2234.102980,1503.758760,294.002477,1509.729218,281.339396
2236.036547,1505.243886,294.695837,1511.741938,282.295219
2237.939015,1506.672242,295.437379,1513.683836,283.319725
2239.819378,1508.053538,296.229789,1515.557624,284.410792
2241.686400,1509.397048,297.076212,1517.366447,285.565840
2243.548548,1510.711449,297.980066,1519.114048,286.782015
2245.413931,1512.004736,298.944831,1520.804854,288.056401
2247.290255,1513.284198,299.973855,1522.443996,289.386217
2249.184799,1514.556469,301.070179,1524.037260,290.768984
2251.104402,1515.827624,302.236423,1525.590991,292.202648
2253.055473,1517.103293,303.474722,1527.111980,293.685638
2255.044009,1518.388790,304.786704,1528.607334,295.216890
2257.075631,1519.689225,306.173516,1530.084361,296.795822
2259.155617,1521.009605,307.635868,1531.550478,298.422291
2261.288952,1522.308811,309.119411,1533.059221,300.151206
2265.677647,1525.086151,312.448360,1535.904555,303.562296
2274.214481,1530.493961,319.032106,1541.333724,310.172109
2286.439339,1538.225489,328.491236,1549.075368,319.643632
2301.891970,1547.988299,340.463437,1558.843811,331.622744
2320.112097,1559.492237,354.589154,1570.351094,345.752569
2340.639432,1572.447789,370.509612,1583.308619,361.675453
2363.013686,1586.565679,387.866331,1597.427546,379.033446
2386.774569,1601.556745,406.300960,1612.418928,397.468465
2411.461788,1617.131881,425.455227,1627.993757,416.622354
2436.615050,1633.002021,444.970904,1643.862985,436.136909
2461.774065,1648.878136,464.489807,1659.737530,455.653883
2486.478541,1664.471232,483.653800,1675.328272,474.814983
2510.268187,1679.492375,502.104815,1690.346033,493.261845
2532.682716,1693.652726,519.484902,1704.501539,510.635989
2553.261840,1706.663633,535.436337,1717.505329,526.578706
2571.545281,1718.236864,549.601906,1729.067523,540.730782
2587.072771,1728.085310,561.625743,1738.897117,552.731652
2599.384068,1735.925840,571.156719,1746.699129,562.216012
2608.019013,1741.499906,577.872345,1752.153994,568.789922
2612.517862,1744.346451,581.210085,1755.144656,572.299487
2615.544894,1745.808322,582.912528,1757.536023,575.266547
2618.489045,1747.033927,584.715797,1759.526264,578.395867
2621.364345,1748.031542,586.599981,1761.124605,581.642997
