tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,1733.770664,568.536900,0.000000,0.010000,0.010000,0.000000
blue,1738.905419,574.746750,0.000000,0.010000,0.010000,0.000000
blue,1744.018715,580.825937,0.000000,0.010000,0.010000,0.000000
blue,1747.549119,585.709905,0.000000,0.010000,0.010000,0.000000
blue,1748.965163,589.128590,0.000000,0.010000,0.010000,0.000000
blue,1749.725523,592.739257,0.000000,0.010000,0.010000,0.000000
blue,1749.791082,596.351327,0.000000,0.010000,0.010000,0.000000
blue,1749.166953,599.698686,0.000000,0.010000,0.010000,0.000000
blue,1747.964856,602.440090,0.000000,0.010000,0.010000,0.000000
blue,1746.447150,604.315459,0.000000,0.010000,0.010000,0.000000
blue,1744.658842,605.402852,0.000000,0.010000,0.010000,0.000000
blue,1742.144215,605.638910,0.000000,0.010000,0.010000,0.000000
blue,1737.761596,604.436683,0.000000,0.010000,0.010000,0.000000
blue,1730.102282,602.048215,0.000000,0.010000,0.010000,0.000000
blue,1722.453049,599.682712,0.000000,0.010000,0.010000,0.000000
blue,1714.803815,597.324288,0.000000,0.010000,0.010000,0.000000
blue,1707.154372,594.969327,0.000000,0.010000,0.010000,0.000000
blue,1699.503755,592.621005,0.000000,0.010000,0.010000,0.000000
blue,1691.852934,590.273515,0.000000,0.010000,0.010000,0.000000
blue,1684.200820,587.931319,0.000000,0.010000,0.010000,0.000000
blue,1676.548707,585.589125,0.000000,0.010000,0.010000,0.000000
blue,1668.894902,583.252888,0.000000,0.010000,0.010000,0.000000
blue,1661.241087,580.916688,0.000000,0.010000,0.010000,0.000000
blue,1653.586034,578.584494,0.000000,0.010000,0.010000,0.000000
blue,1645.930302,576.254500,0.000000,0.010000,0.010000,0.000000
blue,1638.274281,573.925389,0.000000,0.010000,0.010000,0.000000
blue,1630.616367,571.602071,0.000000,0.010000,0.010000,0.000000
blue,1622.958453,569.278755,0.000000,0.010000,0.010000,0.000000
blue,1615.299287,566.959108,0.000000,0.010000,0.010000,0.000000
blue,1607.638853,564.643183,0.000000,0.010000,0.010000,0.000000
blue,1599.978419,562.327259,0.000000,0.010000,0.010000,0.000000
blue,1592.315673,560.017874,0.000000,0.010000,0.010000,0.000000
blue,1584.652275,557.710329,0.000000,0.010000,0.010000,0.000000
blue,1576.988784,555.403041,0.000000,0.010000,0.010000,0.000000
blue,1569.321828,553.105198,0.000000,0.010000,0.010000,0.000000
blue,1561.654871,550.807356,0.000000,0.010000,0.010000,0.000000
blue,1553.986704,548.512682,0.000000,0.010000,0.010000,0.000000
blue,1546.315366,546.226307,0.000000,0.010000,0.010000,0.000000
blue,1538.644028,543.939936,0.000000,0.010000,0.010000,0.000000
blue,1530.969508,541.661491,0.000000,0.010000,0.010000,0.000000
blue,1523.292610,539.388974,0.000000,0.010000,0.010000,0.000000
blue,1515.615710,537.116463,0.000000,0.010000,0.010000,0.000000
blue,1507.931797,534.860351,0.000000,0.010000,0.010000,0.000000
blue,1500.247563,532.604993,0.000000,0.010000,0.010000,0.000000
blue,1492.558526,530.359930,0.000000,0.010000,0.010000,0.000000
blue,1484.864100,528.126420,0.000000,0.010000,0.010000,0.000000
blue,1477.167253,525.897494,0.000000,0.010000,0.010000,0.000000
blue,1469.457598,523.692782,0.000000,0.010000,0.010000,0.000000
blue,1461.746383,521.490526,0.000000,0.010000,0.010000,0.000000
blue,1454.011352,519.325426,0.000000,0.010000,0.010000,0.000000
blue,1446.265223,517.173002,0.000000,0.010000,0.010000,0.000000
blue,1438.479815,515.065390,0.000000,0.010000,0.010000,0.000000
blue,1430.682581,513.036318,0.000000,0.010000,0.010000,0.000000
blue,1422.886481,511.082052,0.000000,0.010000,0.010000,0.000000
blue,1415.097450,509.184555,0.000000,0.010000,0.010000,0.000000
blue,1407.306804,507.304395,0.000000,0.010000,0.010000,0.000000
blue,1399.513939,505.439086,0.000000,0.010000,0.010000,0.000000
blue,1391.718475,503.588151,0.000000,0.010000,0.010000,0.000000
blue,1383.920255,501.750924,0.000000,0.010000,0.010000,0.000000
blue,1376.119367,499.926174,0.000000,0.010000,0.010000,0.000000
blue,1368.315757,498.113673,0.000000,0.010000,0.010000,0.000000
blue,1360.509093,496.314515,0.000000,0.010000,0.010000,0.000000
blue,1352.699519,494.527808,0.000000,0.010000,0.010000,0.000000
blue,1344.887027,492.753409,0.000000,0.010000,0.010000,0.000000
blue,1337.071615,490.991194,0.000000,0.010000,0.010000,0.000000
blue,1329.253287,489.241055,0.000000,0.010000,0.010000,0.000000
blue,1321.432051,487.502889,0.000000,0.010000,0.010000,0.000000
blue,1313.607053,485.780117,0.000000,0.010000,0.010000,0.000000
blue,1305.778583,484.071472,0.000000,0.010000,0.010000,0.000000
blue,1297.946964,482.375608,0.000000,0.010000,0.010000,0.000000
blue,1290.112190,480.692530,0.000000,0.010000,0.010000,0.000000
blue,1282.273368,479.025811,0.000000,0.010000,0.010000,0.000000
blue,1274.430232,477.376494,0.000000,0.010000,0.010000,0.000000
blue,1266.579612,475.740528,0.000000,0.010000,0.010000,0.000000
blue,1258.721724,474.119667,0.000000,0.010000,0.010000,0.000000
blue,1250.864145,472.533227,0.000000,0.010000,0.010000,0.000000
blue,1243.003952,470.966570,0.000000,0.010000,0.010000,0.000000
blue,1235.141704,469.415828,0.000000,0.010000,0.010000,0.000000
blue,1227.277579,467.879970,0.000000,0.010000,0.010000,0.000000
blue,1219.411743,466.358039,0.000000,0.010000,0.010000,0.000000
blue,1211.544206,464.850532,0.000000,0.010000,0.010000,0.000000
